Code,Short Description,Active
AFC,"Fine Arts Floor, Claflin",True
CCF,"Core Curriculum Floor, Warren",True
CCH,Core Curriculum House,True
CGH,Common Ground House,True
CHH,Chinese House,True
CLH,Classics House,True
COS,"Communication Floor, Warren",True
CSH,Community Service House,True
EDH,Education House,True
EEH,Earth House,True
EFS,"Engineering Floor, Warren",True
EQH,Engineering House,True
EQM,"Engineering Floor, Myles Standish",True
EQR,"Engineering Floor, Warren",True
EQT,"Engineering Floor, The Towers ",True
FRH,French House,True
GRH,German House,True
GSH,General Studies House,True
ITH,Italian House,True
JPH,Japanese House,True
KHC,Kilachand Honors College Floors,True
KHH,Kilachand Honors House,True
LPH,Limited Parietal House,True
MGH,Management House,True
MGL,"Management Floor, Towers",True
MUH,Music House,True
SAR,Sargent College House,True
SAT,"Sargent College, Towers",True
SPH,Spanish House,True
TSH,Trustee Scholars House,True
WLH,Wellness Floor,True
WRF,"Writers' Corridor, Kilachand Hall",True
WSF,"Women in Science, Warren",True
WUP,Women in Science House,True
YRH,Year-Round Housing,True
